"Year","Value","Country"
"1992","574.9285714285714","Aland Islands"
"1992","1747.5","Albania"
"1992","215.95","Algeria"
"1992","3542.7","American Samoa"
"1992","1655.5695652173913","Argentina"
"1992","353.9","Armenia"
"1992","732.1463614809411","Australia"
"1992","1050.8428571428572","Austria"
"1992","715.05","Azerbaijan"
"1992","587.979069767442","Belarus"
"1992","852.8000000000001","Belgium"
"1992","1478.4","Belize"
"1992","1454.3","Bermuda"
"1992","1354.8666666666666","Bolivia"
"1992","778.5","Bosnia and Herzegovina"
"1992","309.4642857142857","Botswana"
"1992","1578.247061503417","Brazil"
"1992","896","Cambodia"
"1992","892.7404761904762","Canada"
"1992","725.6194174757284","China"
"1992","1335.2285714285713","Colombia"
"1992","1009.8076923076922","Croatia"
"1992","445.5","Cuba"
"1992","493.625","Cyprus"
"1992","492","Czech Republic"
"1992","705.5571428571428","Denmark"
"1992","3536.95","Ecuador"
"1992","106.98333333333335","Egypt"
"1992","1413.5","El Salvador"
"1992","590.4653846153846","Estonia"
"1992","417.5","Falkland Islands (Malvinas)"
"1992","671.2059496567505","Finland"
"1992","869.4287671232875","France"
"1992","2125.8333333333335","French Guiana"
"1992","2225.575","French Polynesia"
"1992","1379.052","Georgia"
"1992","812.1310679611653","Germany"
"1992","444.23749999999995","Greece"
"1992","707.9","Greenland"
"1992","1753","Guadeloupe"
"1992","2406.2","Guam"
"1992","1814.8","Guatemala"
"1992","862.5","Guernsey"
"1992","1028.55","Guyana"
"1992","1509.875","Honduras"
"1992","495.52","Hungary"
"1992","1379.1166666666668","Iceland"
"1992","1808.3333333333333","India"
"1992","258.8","Iran, Islamic Republic of"
"1992","1012.0799999999999","Ireland"
"1992","820","Isle of Man"
"1992","625.1","Israel"
"1992","876.0769230769231","Italy"
"1992","1949.3000000000002","Japan"
"1992","912.8","Jersey"
"1992","288.4304347826087","Kazakhstan"
"1992","612.7","Kenya"
"1992","938","Korea, Republic of"
"1992","530.25","Kyrgyzstan"
"1992","537.3","Latvia"
"1992","337.7125","Lesotho"
"1992","90.54444444444442","Libyan Arab Jamahiriya"
"1992","624.3","Lithuania"
"1992","826.7545454545456","Luxembourg"
"1992","411","Macedonia"
"1992","2691","Malaysia"
"1992","2350.6","Maldives"
"1992","585.4","Malta"
"1992","1759.1666666666667","Marshall Islands"
"1992","1028.3197530864197","Mexico"
"1992","2816.1583333333333","Micronesia, Federated States of"
"1992","411.8800000000001","Moldova, Republic of"
"1992","185.35833333333335","Mongolia"
"1992","281.93999999999994","Morocco"
"1992","1212.7","Myanmar"
"1992","114.34999999999998","Namibia"
"1992","835.7003164556963","Netherlands"
"1992","9986","New Caledonia"
"1992","1044.5","New Zealand"
"1992","1744.65","Northern Mariana Islands"
"1992","1310.0478260869565","Norway"
"1992","3227.866666666667","Palau"
"1992","2580.125","Panama"
"1992","1849","Papua New Guinea"
"1992","1685.3333333333333","Paraguay"
"1992","1210.8","Peru"
"1992","1725.8999999999999","Philippines"
"1992","561.5","Poland"
"1992","838.1999999999999","Portugal"
"1992","1717.814285714286","Puerto Rico"
"1992","450.4555555555555","Romania"
"1992","515.2977384464112","Russian Federation"
"1992","3214","Saint Helena"
"1992","91.5","Saudi Arabia"
"1992","538.9333333333333","Serbia"
"1992","2938","Seychelles"
"1992","646.25","Slovakia"
"1992","1408.1555555555558","Slovenia"
"1992","374.6510355029587","South Africa"
"1992","0","South Georgia and the South Sandwich Islands"
"1992","534.3411764705884","Spain"
"1992","498.77500000000003","Svalbard and Jan Mayen"
"1992","542.1555555555556","Swaziland"
"1992","677.6462222222224","Sweden"
"1992","1272.7","Switzerland"
"1992","371.6666666666667","Syrian Arab Republic"
"1992","318.675","Tajikistan"
"1992","1331.7666666666667","Thailand"
"1992","3919.6","Trinidad and Tobago"
"1992","525.9799999999999","Tunisia"
"1992","559.45","Turkey"
"1992","256.55","Turkmenistan"
"1992","585.3055555555555","Ukraine"
"1992","1008.5130952380955","United Kingdom"
"1992","909.5341433021814","United States"
"1992","1221.2207207207205","Uruguay"
"1992","269.5208333333333","Uzbekistan"
"1992","1996.9","Vanuatu"
"1992","1409.6241379310343","Venezuela"
"1992","1714.2","Vietnam"
"1992","1064.6","Virgin Islands, British"
"1992","941.575","Virgin Islands, U.S."
"1993","492.12857142857143","Aland Islands"
"1993","1294.5","Albania"
"1993","150.95","Algeria"
"1993","3189.4","American Samoa"
"1993","1594.7217391304348","Argentina"
"1993","457.65000000000003","Armenia"
"1993","634.2167409057165","Australia"
"1993","1116.7714285714285","Austria"
"1993","673.0068181818182","Belarus"
"1993","869.3000000000001","Belgium"
"1993","1501.5","Belize"
"1993","1532.1","Bermuda"
"1993","1283.25","Bolivia"
"1993","787.4","Bosnia and Herzegovina"
"1993","309.58000000000004","Botswana"
"1993","1405.157001292547","Brazil"
"1993","1144.1","Cambodia"
"1993","904.2763739734681","Canada"
"1993","1779.7","Chile"
"1993","794.0128712871286","China"
"1993","2343.0181818181813","Colombia"
"1993","1060.9230769230771","Croatia"
"1993","994.2","Cuba"
"1993","356.97499999999997","Cyprus"
"1993","521.4","Czech Republic"
"1993","700.5857142857143","Denmark"
"1993","746.6","Dominican Republic"
"1993","2649.2","Ecuador"
"1993","107.78333333333332","Egypt"
"1993","1830.5","El Salvador"
"1993","664.4","Estonia"
"1993","561.911851851852","Finland"
"1993","830.187951807229","France"
"1993","2484.075","French Guiana"
"1993","879.1236453201967","Germany"
"1993","537.2875","Greece"
"1993","1061.5857142857142","Greenland"
"1993","1560","Guadeloupe"
"1993","1523.8400000000001","Guam"
"1993","2532.2","Guatemala"
"1993","811.3","Guernsey"
"1993","1676.4499999999998","Guyana"
"1993","1976.075","Honduras"
"1993","2054.8","Hong Kong"
"1993","520.48","Hungary"
"1993","1267.3999999999999","Iceland"
"1993","1653.25","India"
"1993","252.95","Iran, Islamic Republic of"
"1993","1106.4999999999998","Ireland"
"1993","987.5","Isle of Man"
"1993","282.95","Israel"
"1993","771.853846153846","Italy"
"1993","1716.9","Japan"
"1993","846.6","Jersey"
"1993","321.8434782608696","Kazakhstan"
"1993","548.54","Kenya"
"1993","1234.3333333333333","Korea, Republic of"
"1993","848.9499999999999","Kyrgyzstan"
"1993","574.8","Latvia"
"1993","608.9000000000001","Lesotho"
"1993","188.05714285714288","Libyan Arab Jamahiriya"
"1993","713.8833333333333","Lithuania"
